,T_amb,t_des=1,t_des=12,t_des=24
26565,2.2,330.8439051163146,338.9334321086484,355.7627631336217
26566,2.2,330.8439051163146,338.9334321086484,355.7627631336217
26567,0.7,342.4795576793246,350.41185987883364,366.9672504670071
26568,1.0,340.153757357842,348.12124599046086,364.73707592630205
26569,1.3,337.82724802696595,345.828036961324,362.5014828048445
26570,1.1,339.3783311301082,347.3571292190752,363.99247749838355
26571,1.3,337.82724802696595,345.828036961324,362.5014828048445
26572,1.0,340.153757357842,348.12124599046086,364.73707592630205
26573,1.3,337.82724802696595,345.828036961324,362.5014828048445
26574,1.8,333.9482743011442,342.00042079543846,358.76360794502784
26575,1.9,333.1722761155063,341.2340753191184,358.0142690698939
26576,1.6,335.50007231197173,343.532295789349,360.26052471804115
26577,1.6,335.50007231197173,343.532295789349,360.26052471804115
26578,2.2,330.8439051163146,338.9334321086484,355.7627631336217
26579,2.5,328.51500446609595,336.6304228076571,353.50606801707437
26580,2.8,326.1856203846566,334.3251041166208,351.2442431320236
26581,3.2,323.07909958609093,331.247854721185,348.2205958172741
26582,3.4,321.52557958155364,329.70776822198644,346.7054381511084
26583,3.5,320.7487605013386,328.9373674334341,345.9470331718614
26584,3.4,321.52557958155364,329.70776822198644,346.7054381511084
26585,3.0,324.63245078285223,332.7869700361002,349.7335354914284
26586,2.2,330.8439051163146,338.9334321086484,355.7627631336217
26587,2.4,329.291360910523,337.3983519779692,354.2588727440668
26588,2.3,330.0676615804271,338.1660224465339,355.01110505248255
26589,2.4,329.291360910523,337.3983519779692,354.2588727440668
26590,2.1,331.62008983798995,339.70057888053066,356.51384431419245
26591,2.0,332.39621406371356,340.467460648597,357.2643471832305
26592,2.1,331.62008983798995,339.70057888053066,356.51384431419245
26593,2.0,332.39621406371356,340.467460648597,357.2643471832305
26594,2.2,330.8439051163146,338.9334321086484,355.7627631336217
26595,2.2,330.8439051163146,338.9334321086484,355.7627631336217
26596,2.2,330.8439051163146,338.9334321086484,355.7627631336217
26597,2.3,330.0676615804271,338.1660224465339,355.01110505248255
26598,2.6,327.7385948734233,335.8622370393186,352.7526934603677
26599,2.5,328.51500446609595,336.6304228076571,353.50606801707437
26600,2.7,326.96213285226844,335.0937967762931,351.99875110023606
26601,2.5,328.51500446609595,336.6304228076571,353.50606801707437
26602,2.3,330.0676615804271,338.1660224465339,355.01110505248255
26603,2.2,330.8439051163146,338.9334321086484,355.7627631336217
26604,2.2,330.8439051163146,338.9334321086484,355.7627631336217
26605,1.9,333.1722761155063,341.2340753191184,358.0142690698939
26606,1.8,333.9482743011442,342.00042079543846,358.76360794502784
26607,1.7,334.7242069310567,342.76649498310394,359.51235820720086
26608,1.7,334.7242069310567,342.76649498310394,359.51235820720086
26609,1.5,336.2758687582791,344.297821111185,361.0081050044063
26610,1.4,337.05159456182275,345.0630688692103,361.7550907347
26611,1.0,340.153757357842,348.12124599046086,364.73707592630205
26612,0.8,341.70437061569413,349.6486134037877,366.2244644898095
26613,0.7,342.4795576793246,350.41185987883364,366.9672504670071
26614,0.9,340.9291044256441,348.8850747450955,365.4810722863366
26615,0.6,343.25465718107404,351.1748120792831,367.70942815062267
26616,0.4,344.80459637960183,352.6998253692403,369.19195038752633
26617,0.5,344.02967065583385,351.9374679403226,368.4509954751832
26618,0.4,344.80459637960183,352.6998253692403,369.19195038752633
26619,0.3,345.5794326303258,353.4618822926421,369.93229084091354
